Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Verbrauch (g/km),Kilometerstand (km),Bemerkungen
skoda,Skoda Fabia,schwarz,12/2017,2017,12540,55,75,Schaltgetriebe,Benzin,"4,8 l/100 km",111 g/km,30385.0,1.0 MPI Cool Plus *PDC*SHZ*BLUETOOTH*
toyota,Toyota Yaris,schwarz,12/2006,2006,4000,64,87,Automatik,Benzin,"5,4 l/100 km",136 g/km,201000.0,"1.3 VVT-i AUTOMATIK, TÜV 07/23, 2.HD, S-Heft"
hyundai,Hyundai i20,schwarz,05/2023,2023,31090,150,204,Schaltgetriebe,Benzin,7 l/100 km,158 g/km,620.0,1.6 T-GDI 150kW N Performance Bose SOFORT
renault,Renault Clio,rot,08/2007,2007,1200,40,54,Schaltgetriebe,Benzin,"5,9 l/100 km",140 g/km,237000.0,Clio 1.2 Campus
bmw,BMW X3,grau,05/2010,2010,15990,130,177,Automatik,Diesel,7 l/100 km,185 g/km,77530.0,xDrive 20d+Automatik+Xenon+Sitzheizung+PDC
mazda,Mazda 2,rot,03/2023,2023,21770,66,90,Automatik,Benzin,"4,7 l/100 km",106 g/km,866.0,HOMURA RFK Klimaaut Lenkradheizg Tempomat Freispre
seat,SEAT Ibiza,blau,02/2018,2018,12390,70,95,Schaltgetriebe,Benzin,"4,2 l/100 km",- (g/km),77000.0,Ibiza ST 1.0 Eco TSI S
mercedes-benz,Mercedes-Benz E 220,,12/2015,2015,22999,125,170,Automatik,Diesel,"4,5 l/100 km",118 g/km,108000.0,BlueTEC 9G-TRONIC
bmw,BMW X2,orange,10/2019,2019,21800,110,150,Schaltgetriebe,Diesel,"4,5 l/100 km",118 g/km,96621.0,"sDrive18d ""Advantage"" gr.Navi/Kamera/HeadUp/LED"
opel,Opel Astra,rot,12/2015,2015,6780,81,110,Schaltgetriebe,Diesel,"3,5 l/100 km",92 g/km,160000.0,1.6 D (CDTI) Start/Stop Sports Tourer Business
ford,Ford Focus,blau,01/2020,2020,17770,110,150,Schaltgetriebe,Diesel,"4,2 l/100 km",111 g/km,82500.0,Turnier Titanium #Standheizung # AHK Nav 110 kW...
dacia,Dacia Dokker,weiß,03/2020,2020,16990,96,131,Schaltgetriebe,Benzin,"6,2 l/100 km",142 g/km,42800.0,"Stepway Plus Kamera, Navi Sitzheizung"
hyundai,Hyundai i20,weiß,08/2016,2016,10890,55,75,Schaltgetriebe,Benzin,"5,1 l/100 km",119 g/km,54100.0,"blue Classic Klima/Pioneer DAB/Fin. ab 3,99%"
bmw,BMW 523,grau,10/2007,2007,16750,140,190,Automatik,Benzin,"7,9 l/100 km",- (g/km),190478.0,5er 523i Touring Aut.
renault,Renault Captur,blau,03/2023,2023,34990,68,92,Automatik,Hybrid,"1,3 l/100 km",132 g/km,50.0,TECHNO E-TECH Plug-in 160 Rückfahrkamera
opel,Opel Adam,blau,07/2014,2014,7980,74,101,Schaltgetriebe,Benzin,"5,3 l/100 km",126 g/km,106475.0,Slam*Sport*SHZ*Klima*Freisprech*TOP*
skoda,Skoda Superb,weiß,03/2012,2012,5490,103,140,Schaltgetriebe,Diesel,"5,5 l/100 km",146 g/km,245000.0,"Comfort Combi 2.0TDI KLIMA,SHZ,PDC,AHK, EU5"
audi,Audi A3,braun,10/2017,2017,18430,110,150,Schaltgetriebe,Benzin,"5,3 l/100 km",117 g/km,44597.0,1.5 TSI ACT sport*NAVI*XENON*TEMPO*PDC*
opel,Opel Grandland X,grau,04/2019,2019,18750,96,131,Schaltgetriebe,Benzin,"5,2 l/100 km",120 g/km,72600.0,Grandland INNOVATION 1.2 **SHZ*Navi**
mercedes-benz,Mercedes-Benz E 220,silber,08/2006,2006,4000,110,150,Automatik,Diesel,"6,4 l/100 km",168 g/km,260000.0,CDI Automatik Classic
hyundai,Hyundai i10,schwarz,02/2016,2016,11500,49,67,Schaltgetriebe,Benzin,"4,7 l/100 km",108 g/km,105800.0,1.0 YES! Silver
peugeot,Peugeot 3008,blau,03/2021,2021,40990,221,300,Automatik,Hybrid,"6,9 l/100 km",158 g/km,29125.0,Plug-In-Hybrid 1.6 Hybrid4 300 GT Pack ACC/LED/...
skoda,Skoda Fabia,weiß,10/2017,2017,11790,55,75,Schaltgetriebe,Benzin,"4,7 l/100 km",106 g/km,89900.0,1.0 Red&Grey Edition+Klima+Alu+DAB+SHZ+PDC
mazda,Mazda 6,grau,03/2023,2023,41990,143,194,Automatik,Benzin,"7,6 l/100 km",172 g/km,500.0,Kombi SKYACTIV-G 194 Drive Takumi (GL/GJ/GH)
volkswagen,Volkswagen Golf,silber,04/1999,1999,1999,92,125,Schaltgetriebe,Benzin,"8,9 l/100 km",214 g/km,266600.0,1.4 Generation
ford,Ford Focus,weiß,06/2023,2023,36390,85,116,Automatik,Diesel,"5,3 l/100 km",143 g/km,59.0,"ST-Line X 1,5l LED,Kamera,Navi,HeadUp"
renault,Renault Megane,schwarz,11/2022,2022,22490,103,140,Schaltgetriebe,Benzin,"5,8 l/100 km",130 g/km,3.0,IV Lim. 5-trg. Zen
ford,Ford Transit Custom,grau,09/2017,2017,23840,96,131,Automatik,Diesel,6 l/100 km,182 g/km,139986.0,DoKa Kasten 290 L1H1 Trend Autm.
volkswagen,Volkswagen T-Roc,weiß,07/2022,2022,32500,110,150,Automatik,Benzin,"5,4 l/100 km",123 g/km,12200.0,"R-Line 1.5 TSI DSG, NAVI, RFK, Neues Mod."
volkswagen,Volkswagen T6 Kombi,gelb,01/2017,2017,19900,110,150,Schaltgetriebe,Diesel,"6,1 l/100 km",161 g/km,258923.0,2.0TDI LR 9-Sitzer AHZV PDC KLIMA
peugeot,Peugeot 3008,grau,04/2019,2019,28840,132,179,Automatik,Diesel,"4,9 l/100 km",129 g/km,77430.0,Allure BlueHDi 180 EAT8 S&S - FULL LED - AHK - SHZ
ford,Ford Fiesta,schwarz,03/2016,2016,13330,92,125,Schaltgetriebe,Benzin,"4,3 l/100 km",99 g/km,37800.0,1.0 EcoBoost Start-Stop Titanium +BT +SHZ
chrysler,Chrysler Pacifica,schwarz,06/2022,2022,54490,214,291,Automatik,Benzin,,- (g/km),28512.0,"Touring L, 3.6l V6, NEUES MODELL,CARFAX"
opel,Opel Meriva,weiß,01/2012,2012,7450,88,120,Schaltgetriebe,Benzin,"6,1 l/100 km",145 g/km,156000.0,B Design Edition*KLIMA*PANO*TEMPO*GARANTI
toyota,Toyota Corolla,silber,02/2020,2020,27950,112,152,Automatik,Hybrid,"3,7 l/100 km",84 g/km,54000.0,Sports Hybrid*Scheckheft*JBL*Kamera*Pano
toyota,Toyota Corolla,silber,11/2021,2021,25940,85,116,Schaltgetriebe,Benzin,"5,6 l/100 km",125 g/km,14520.0,1.2 Team D KLIMA PDC SHZ KAMERA LED
skoda,Skoda Kodiaq,grau,03/2019,2019,34950,140,190,Automatik,Benzin,"6,9 l/100 km",157 g/km,51000.0,2.0 TSI Sportline 4x4 OPF (EURO 6d-TEMP)
fiat,Fiat Tipo,schwarz,07/2017,2017,8500,70,95,Schaltgetriebe,Benzin,"5,7 l/100 km",133 g/km,119957.0,Tipo 1.4 16V Lounge
ford,Ford Kuga,weiß,09/2017,2017,20900,110,150,Schaltgetriebe,Diesel,"4,7 l/100 km",122 g/km,78900.0,Turnier Business Navigationsystem
bmw,BMW 430,schwarz,06/2017,2017,25999,185,252,Automatik,Benzin,"5,5 l/100 km",129 g/km,96670.0,430i Coupe Aut. -LED-Scheckheft-Navi
mercedes-benz,Mercedes-Benz S 500,weiß,03/2015,2015,57999,335,455,Automatik,Benzin,"9,4 l/100 km",223 g/km,99999.0,"4M AMG ""Edition 1"" 21 ZOLL, ABSOLUT VOLL !"
seat,SEAT Alhambra,blau,04/2019,2019,29990,130,177,Automatik,Diesel,,179 g/km,85200.0,2.0 TDI DSG Style*Navi*Bi-Xenon*Panoram Style
bmw,BMW 528,grau,11/2014,2014,18950,180,245,Schaltgetriebe,Benzin,"6,6 l/100 km",156 g/km,87000.0,i Lim *Navi*HeadUP*Totwinkel*SHZ*PDC*
bmw,BMW 520,silber,07/2019,2019,37890,140,190,Automatik,Diesel,,0 g/km,67467.0,d xDrive Touring Luxury Line NaviProf.HUD.AHK
audi,Audi R8,blau,06/2018,2018,139990,449,610,Automatik,Benzin,"12,5 l/100 km",292 g/km,21505.0,Spyder 5.2 FSI plus quattro / Audi exclusive
volvo,Volvo S90,schwarz,08/2020,2020,41900,246,334,Automatik,Benzin,,- (g/km),46800.0,T6 AWD R-Design ACC AutoPilot LED Panorama 3
audi,Audi A5,weiß,08/2018,2018,28000,140,190,Automatik,Benzin,"5,5 l/100 km",126 g/km,96534.0,Sptbk 2.0 TFSI S-Tr sport S-Line MMI+ Matrix
volkswagen,Volkswagen Golf,grau,11/2018,2018,14400,85,116,Schaltgetriebe,Diesel,"4,1 l/100 km",- (g/km),84500.0,"Golf VII 1,6 TDI Join"
ford,Ford Focus,silber,03/2013,2013,7500,74,101,Schaltgetriebe,Benzin,"4,8 l/100 km",114 g/km,129957.0,Lim. 1.0 Champ.Edition KLIMAA/5 TRG/HU:NEU
hyundai,Hyundai i30,blau,10/2018,2018,16995,103,140,Schaltgetriebe,Benzin,"5,5 l/100 km",129 g/km,71200.0,Kombi Passion +
volkswagen,Volkswagen Golf,grau,03/2022,2022,24690,110,150,Schaltgetriebe,Benzin,"5,3 l/100 km",122 g/km,7745.0,VIII Variant 1.5TSI R-Line AHK RüKam Keyless LE...
mercedes-benz,Mercedes-Benz,rot,06/2022,2022,42570,140,190,Automatik,Diesel,,-/-,7900.0,Sprinter 319 CDI Pritsche DoKa Leder S&S 7-Sitze
nissan,Nissan Qashqai,schwarz,10/2020,2020,25600,117,159,Automatik,Benzin,,0 g/km,45915.0,Tekna PLUS ACC+LED+PANO+360°+Park Assist
kia,Kia Carens,blau,06/2017,2017,16790,99,135,Schaltgetriebe,Benzin,"6,5 l/100 km",150 g/km,52175.0,1.6 EDITION 7 7-SITZER
mazda,Mazda CX-5,grau,05/2019,2019,26490,143,194,Automatik,Benzin,"7,2 l/100 km",164 g/km,44000.0,Signature AWD Heat up AHZV  LED  Sitz Lenkradheiz.
volkswagen,Volkswagen Golf,schwarz,03/2015,2015,14500,169,230,Schaltgetriebe,Benzin,,- (g/km),99000.0,"GTI Performance 2.0 TSI 6-Gang GTI Performance,19"""
volkswagen,Volkswagen Crafter,silber,11/2019,2019,25999,130,177,Schaltgetriebe,Diesel,"7,1 l/100 km",187 g/km,143192.0,35 2.0 TDI L2H1 +1.Hd +Navi+Standhzg+AHK
ford,Ford Kuga,grau,07/2014,2014,12950,110,150,Schaltgetriebe,Benzin,"6,6 l/100 km",154 g/km,88230.0,1.6 TITANIUM TEILLEDER·KLIMAAUT·SHZ·PARKASS
volkswagen,Volkswagen Golf,grau,02/2023,2023,41930,147,200,Automatik,Diesel,"4,4 l/100 km",117 g/km,9550.0,8 GTD 2.0 TDI DSG Black Style-Exterieur
mini,MINI Cooper D Countryman,grau,02/2012,2012,8950,82,111,Schaltgetriebe,Diesel,"4,4 l/100 km",117 g/km,243000.0,Chili Paket
fiat,Fiat 500,rot,01/2023,2023,15990,51,69,Schaltgetriebe,Hybrid,"4,7 l/100 km",119 g/km,50.0,Dolcevita 1.0 Hybrid GSE 51KW 70PS VERFÜGBAR
skoda,Skoda Octavia,schwarz,10/2019,2019,22470,110,150,Automatik,Diesel,,- (g/km),47461.0,Combi 2.0 TDI DST STYLE EL.HECK+CANTON+N
lada,Lada Niva,braun,01/2023,2023,21445,61,83,Schaltgetriebe,Benzin,"9,5 l/100 km",260 g/km,50.0,LEGEND 1.7 4x4 +AC+SITZHEIZUNG+ALU+eSPIEGEL
audi,Audi A3,rot,11/2015,2015,21990,110,150,Automatik,Benzin,"4,9 l/100 km",0 g/km,69854.0,Cabrio 1.4 TFSI S-Tronic LED Navi Leder
smart,smart forFour,grau,09/2017,2017,11700,66,90,Schaltgetriebe,Benzin,"5,4 l/100 km",123 g/km,62000.0,passion+Panorama+Navi+Einparkhilfe
opel,Opel Zafira Tourer,braun,02/2014,2014,10890,100,136,Schaltgetriebe,Diesel,"4,1 l/100 km",109 g/km,115000.0,Zafira C Tourer 1.6 CDTI Innovation*OPC-Line*7Si
ford,Ford Fiesta,blau,02/2020,2020,15880,92,125,Schaltgetriebe,Benzin,"5,3 l/100 km",121 g/km,49952.0,1.0i  ActiveX LED Navi B&O ACC RfKWinter
skoda,Skoda Kodiaq,blau,12/2017,2017,24898,140,190,Automatik,Diesel,"5,7 l/100 km",150 g/km,123067.0,4x4 DSG Style*LED*Pano*Navi*WiPa*
opel,Opel Meriva,schwarz,01/2005,2005,1190,74,101,Schaltgetriebe,Diesel,"5,3 l/100 km",143 g/km,198000.0,"Edition AHK KLIMA 1,7CDTi"
citroen,Citroen DS5,schwarz,04/2013,2013,8470,120,163,Automatik,Diesel,"4,3 l/100 km",99 g/km,248000.0,Business 2.0 HDi 165 FAP 4X4 Allrad Panorama Navi
volkswagen,Volkswagen Tiguan,blau,12/2016,2016,19960,110,,Schaltgetriebe,Benzin,"5,8 l/100 km",132 g/km,81563.0,Trendline TSI AHK SHZ AppConnect Bluetooth
dacia,Dacia Sandero,blau,08/2019,2019,13990,66,90,Automatik,Benzin,,167 g/km,7296.0,Stepway TCe 90 Easy-R S&S Prestige
mazda,Mazda CX-30,rot,11/2022,2022,35250,110,150,Automatik,Benzin,"6,4 l/100 km",144 g/km,5000.0,e-SKYACTIV-G 2.0 M HYBRID 150 DRIVE SELECTION
dacia,Dacia Sandero,grau,04/2023,2023,18990,67,91,Schaltgetriebe,Benzin,"5,1 l/100 km",115 g/km,10.0,Stepway TCe 90 LED Navi AAC Kam Apple/Andr
audi,Audi A1,blau,05/2023,2023,35078,110,150,Automatik,Benzin,5 l/100 km,147 g/km,10.0,35 TFSI 150 S tronic LED S line-Int
opel,Opel Rocks-e,grau,01/2023,2023,9980,9,12,Automatik,Elektro,,0 g/km,10.0,Tenko
opel,Opel Meriva,grau,02/2014,2014,13500,88,120,Automatik,Benzin,"6,9 l/100 km",163 g/km,61270.0,1.4 Automatik Innovation
toyota,Toyota Yaris,silber,12/2018,2018,13900,51,69,Schaltgetriebe,Benzin,"4,3 l/100 km",99 g/km,35800.0,1.0 VVT-i Comfort KLIMA RÜCKFAHRKAMERA
porsche,Porsche Cayenne,schwarz,02/2018,2018,91950,404,549,Automatik,Benzin,"11,7 l/100 km",267 g/km,73250.0,Turbo ''Matrix 14-Wege Panorama Chrono''
renault,Renault Captur,schwarz,02/2018,2018,20990,66,90,Schaltgetriebe,Benzin,"5,4 l/100 km",123 g/km,96699.0,(ENERGY) TCe 90 INTENS
jaguar,Jaguar XF,schwarz,08/2020,2020,30900,120,163,Automatik,Diesel,"5,3 l/100 km",139 g/km,33700.0,"Sportbrake Aut. Prestige, Xenon, Navi, Leder"
mercedes-benz,Mercedes-Benz CLA 200,rot,01/2019,2019,24499,115,156,Schaltgetriebe,Benzin,"6,5 l/100 km",- (g/km),97800.0,CLA Shooting Brake 200
smart,smart forTwo,grau,10/2016,2016,23990,80,109,Automatik,Benzin,"4,6 l/100 km",104 g/km,47300.0,Cabrio 80KW Brabus*MATT*NAVI*JBL*KAM*SHZ
mercedes-benz,Mercedes-Benz A 250,blau,02/2020,2020,38656,165,224,Automatik,Benzin,"7,7 l/100 km",176 g/km,29737.0,4M AMG NIGHT KAMERA DISTR SPUR NAVI MULTI P
toyota,Toyota Aygo X,grün,10/2022,2022,15990,53,72,Schaltgetriebe,Benzin,5 l/100 km,114 g/km,11494.0,1.0 Pulse *CarPlay*Klima*Kamera*SHZ*ACC*
bmw,BMW X3,schwarz,04/2015,2015,19750,140,190,Schaltgetriebe,Diesel,"5,2 l/100 km",138 g/km,129000.0,xDrive20d (F25)
audi,Audi Q8,grau,12/2018,2018,65250,210,286,Automatik,Diesel,"6,8 l/100 km",178 g/km,63723.0,50 TDI quattro S line Matrix AHZV
mazda,Mazda CX-5,weiß,04/2019,2019,30990,135,184,Automatik,Diesel,"5,6 l/100 km",147 g/km,50391.0,2.2 184PS  Sports-Line Plus-Paket Tec-P GSD
bmw,BMW 420,schwarz,03/2015,2015,13900,135,184,Schaltgetriebe,Diesel,"4,7 l/100 km",128 g/km,235448.0,D Gran Coupe Sport/Navi/Head-Up/Bi-Xenon/PDC
volkswagen,Volkswagen Caddy,blau,03/2015,2015,11499,81,110,Schaltgetriebe,Diesel,"6,4 l/100 km",168 g/km,153604.0,2.0 TDI DSG (BlueMotion Technology) Highline
volvo,Volvo XC90,braun,01/2021,2021,57490,223,303,Automatik,Hybrid,,0 g/km,48196.0,T8 INSCRIPTION EXPRESSION 360° HEAD UP AHK
skoda,Skoda Superb,braun,11/2015,2015,16000,140,190,Schaltgetriebe,Diesel,"4,5 l/100 km",- (g/km),186000.0,Superb Combi 2.0 TDI L
toyota,Toyota Yaris,weiß,06/2022,2022,28490,92,125,Schaltgetriebe,Benzin,- (l/100 km),- (g/km),1001.0,1.5 VVT-iE GR SPORT
kia,Kia Stinger,rot,09/2017,2017,12500,188,256,Automatik,Benzin,"7,9 l/100 km",181 g/km,95713.0,GT-Line Navi+ACC+HUD+LED+Memory Sitze+Klimaautom
bmw,BMW 218,schwarz,05/2016,2016,13800,100,136,Schaltgetriebe,Benzin,"4,9 l/100 km",115 g/km,56000.0,"218i Active Tourer Parksens. vo+hi., TÜV neu"
ford,Ford Fiesta,grau,01/2016,2016,9900,60,82,Schaltgetriebe,Benzin,"5,2 l/100 km",123 g/km,95998.0,1.25 EU6 Trend
ford,Ford Fiesta,schwarz,03/2015,2015,8650,59,80,Schaltgetriebe,Benzin,"4,6 l/100 km",105 g/km,94980.0,1.0 Titanium
bmw,BMW 125,weiß,04/2016,2016,15900,165,224,Automatik,Diesel,"4,6 l/100 km",122 g/km,180000.0,d Advantage adap. LED+Navi+Leder+Karmann/K
peugeot,Peugeot 307,grau,06/2004,2004,1200,80,109,Schaltgetriebe,Benzin,"7,7 l/100 km",178 g/km,183000.0,SW 110
audi,Audi A5,weiß,04/2019,2019,26980,140,190,Automatik,Benzin,"5,9 l/100 km",135 g/km,98505.0,Sportback 40 TFSI Start Stop S-Tronic LED+PDC+
hyundai,Hyundai STARIA,gelb,03/2023,2023,52990,130,177,Automatik,Diesel,"8,5 l/100 km",222 g/km,5000.0,"9-Sitzer  2.2 CRDI PRIME Parkpaket, Panoram"
opel,Opel Combo Life,grau,11/2022,2022,29990,96,131,Automatik,Benzin,"5,4 l/100 km",119 g/km,50.0,"Elegance Navi, Sitzheizung"
mercedes-benz,Mercedes-Benz E 250,grau,04/2016,2016,19900,155,211,Automatik,Benzin,"5,8 l/100 km",135 g/km,168000.0,ELEGANCE Autom.360°Kamera*Navi
land-rover,Land Rover Range Rover Sport,grau,11/2021,2021,82990,221,300,Automatik,Diesel,"8,3 l/100 km",200 g/km,27700.0,D300 HSE Dynamic Stealth
volkswagen,Volkswagen Passat Variant,schwarz,12/2004,2004,4399,132,179,keine Angabe,Diesel,"7,8 l/100 km",207 g/km,305000.0,V6 TDI Highline 4Motion (3B6)
bmw,BMW 118,rot,04/2020,2020,23997,103,140,Schaltgetriebe,Benzin,"5,7 l/100 km",129 g/km,16375.0,i Adv/Navi/PDC/LM17/
seat,SEAT Leon,rot,07/2021,2021,24554,110,150,Schaltgetriebe,Benzin,"5,3 l/100 km",121 g/km,18600.0,"1,5 TSI FR - LAGER 110 kW (150 PS), Schaltgetriebe"
bmw,BMW 118,,12/2017,2017,19490,110,150,Automatik,Diesel,4 l/100 km,105 g/km,70538.0,d / NAVI / LED / BT / SHZ / PDC
bmw,BMW X4,silber,08/2019,2019,47750,140,190,Automatik,Diesel,"5,3 l/100 km",140 g/km,77438.0,xDrive 20d Aut. M Sport AHK StHz Pano HK SitzLuft
audi,Audi A6,grau,03/2009,2009,11990,125,170,Automatik,Benzin,"8,5 l/100 km",204 g/km,122000.0,"Lim 2.0 TFSI Aut. S Line Plus Leder Xenon 19"""
mini,MINI One,schwarz,06/2019,2019,15500,75,102,Schaltgetriebe,Benzin,"5,4 l/100 km",122 g/km,22900.0,1. Hand/Sitzhzg./PDC hinten/Alu/wenig km
mercedes-benz,Mercedes-Benz A 200,schwarz,06/2019,2019,72980,120,163,Schaltgetriebe,Benzin,"5,8 l/100 km",142 g/km,31200.0,STYLE LED SPURHALTE TEMPOMAT GESCHW PARK
audi,Audi A4,silber,10/2016,2016,19950,140,190,Automatik,Diesel,"4,4 l/100 km",116 g/km,152600.0,Avant 2.0 TDI S-tronic *1.HAND*NAVI*PDC*XENON*
opel,Opel Vectra,silber,08/2004,2004,4190,114,155,Automatik,Benzin,"8,6 l/100 km",206 g/km,124133.0,GTS C Lim.
volkswagen,Volkswagen Golf,schwarz,06/2002,2002,5599,85,116,Schaltgetriebe,Benzin,"7,8 l/100 km",190 g/km,129000.0,Cabriolet Sportline
