Nummer,Material,Farbe,Infill-Muster,Schichthoehe (mm),Oberflaechenguete,Drucktemperatur (C),Betttemperatur (C),Druckgeschwindigkeit (mm/s),Infill (%),Wandstaerke (mm),Bauteilvolumen (cm3),Druckzeit (min),Zugfestigkeit (MPa),Erfolgreich,Bemerkungen
Druck Nr. 45,PETG,weiß,Gitter,0.2,mittel,242,75,105,100,1.6,107.8,430,45.9,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 46,PETG,blau,Linear,0.15,fein,249,100,35,60,2.4,99.4,1210,32.0,ja,Referenzdruck fuer Serie
Druck Nr. 47,PLA,grau,Gitter,0.25,grob,190,69,59,20,2.4,51.2,150,23.8,ja,Zweitdruck nach Fehlversuch
Druck Nr. 48,ABS,rot,Linear,0.2,mittel,251,82,37,100,2.4,29.8,340,37.9,nein,Oberflaeche leicht rau
Druck Nr. 49,PLA,gelb,Gyroid,0.1,fein,202,26,72,20,1.2,29.2,170,34.2,ja,Erstversuch
Druck Nr. 50,PLA,grau,Gitter,0.15,fein,202,39,101,80,2.0,126.3,620,49.9,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 51,PLA,transparent,Gitter,0.15,fein,193,78,67,20,0.8,112.5,480,27.9,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 52,PETG,weiß,Gitter,0.25,grob,229,67,77,60,1.2,135.6,450,37.6,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 53,PETG,weiß,Waben,0.3,grob,236,99,102,25,1.6,111.4,170,26.7,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 54,PETG,transparent,Linear,0.15,fein,242,69,47,100,2.4,82.0,980,47.9,ja,Zweitdruck nach Fehlversuch
Druck Nr. 55,PETG,rot,Gyroid,0.3,grob,222,85,77,20,2.0,127.5,240,21.6,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 56,PLA,gelb,Linear,0.25,grob,199,57,101,60,1.6,113.4,290,46.8,ja,Zweitdruck nach Fehlversuch
Druck Nr. 57,PLA,blau,Gyroid,0.25,grob,202,44,79,20,1.2,116.9,250,32.0,ja,Referenzdruck fuer Serie
Druck Nr. 58,PLA,rot,Waben,0.1,fein,204,35,42,40,1.6,71.8,910,41.0,nein,keine besonderen Vorkommnisse
Druck Nr. 59,PLA,blau,Gitter,0.1,fein,195,55,74,40,2.0,91.1,660,35.6,nein,Oberflaeche leicht rau
Druck Nr. 60,PLA,transparent,Waben,0.25,grob,207,45,31,40,1.2,62.1,430,37.4,ja,Zweitdruck nach Fehlversuch
Druck Nr. 61,ABS,transparent,Gitter,0.2,mittel,259,100,60,20,0.8,81.8,290,16.1,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 62,ASA,transparent,Gitter,0.15,fein,248,80,44,50,1.6,68.5,610,33.7,nein,Referenzdruck fuer Serie
Druck Nr. 63,ASA,orange,Gitter,0.3,grob,249,93,107,100,2.0,63.9,170,35.5,nein,keine besonderen Vorkommnisse
Druck Nr. 64,PLA,schwarz,Gitter,0.3,grob,204,70,113,60,1.2,128.2,240,40.0,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 65,ABS,weiß,Gitter,0.2,mittel,251,112,88,20,0.8,102.5,250,22.2,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 66,ASA,rot,Gitter,0.25,grob,262,86,87,20,2.0,121.2,240,23.0,nein,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 67,PLA,transparent,Gitter,0.2,mittel,196,45,86,100,2.4,64.9,320,52.3,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 68,ABS,schwarz,Waben,0.1,fein,244,96,106,60,1.2,70.1,420,30.8,nein,Referenzdruck fuer Serie
Druck Nr. 69,PETG,schwarz,Linear,0.1,fein,243,52,44,40,1.2,59.3,720,33.0,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 70,PLA,rot,Linear,0.15,fein,207,75,68,30,0.8,67.6,320,38.1,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 71,ABS,orange,Gyroid,0.1,fein,242,123,104,50,1.2,19.6,110,30.7,nein,keine besonderen Vorkommnisse
Druck Nr. 72,ABS,orange,Gitter,0.1,fein,240,88,88,50,1.6,97.6,650,29.1,nein,Toleranzpruefung durchgefuehrt
Druck Nr. 73,PETG,orange,Gitter,0.1,fein,237,59,73,25,1.6,76.4,480,31.4,nein,keine besonderen Vorkommnisse
Druck Nr. 74,PLA,orange,Waben,0.3,grob,205,47,93,25,1.2,19.5,30,30.2,ja,Zweitdruck nach Fehlversuch
Druck Nr. 75,PETG,weiß,Waben,0.1,fein,231,89,67,60,1.6,22.7,220,40.2,ja,Oberflaeche leicht rau
Druck Nr. 76,ABS,transparent,Linear,0.2,mittel,243,124,111,40,1.6,35.6,90,28.5,nein,Oberflaeche leicht rau
Druck Nr. 77,PETG,grau,Waben,0.3,grob,244,71,84,80,2.4,120.4,350,38.7,nein,Referenzdruck fuer Serie
Druck Nr. 78,PETG,transparent,Gitter,0.2,mittel,226,64,67,60,0.8,66.0,310,36.9,nein,keine besonderen Vorkommnisse
Druck Nr. 79,ABS,schwarz,Gyroid,0.15,fein,226,87,51,100,2.4,68.0,750,30.8,nein,Zweitdruck nach Fehlversuch
Druck Nr. 80,ABS,rot,Linear,0.2,mittel,246,110,86,50,0.8,116.1,390,30.7,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 81,ASA,transparent,Gyroid,0.3,grob,264,96,42,40,0.8,121.9,520,29.8,nein,keine besonderen Vorkommnisse
Druck Nr. 82,ABS,orange,Gitter,0.25,grob,250,104,114,40,2.4,76.2,140,26.6,nein,Erstversuch
Druck Nr. 83,ABS,transparent,Linear,0.3,grob,244,106,65,30,1.2,31.0,80,24.8,ja,Zweitdruck nach Fehlversuch
Druck Nr. 84,ABS,blau,Gitter,0.3,grob,252,110,104,10,0.8,74.5,90,15.1,nein,Zweitdruck nach Fehlversuch
Druck Nr. 85,ABS,schwarz,Linear,0.15,fein,239,106,85,80,1.6,52.0,300,36.3,nein,Toleranzpruefung durchgefuehrt
Druck Nr. 86,PETG,gelb,Gitter,0.3,grob,231,88,116,10,2.0,138.5,150,22.1,ja,Oberflaeche leicht rau
Druck Nr. 87,PLA,transparent,Gyroid,0.15,fein,200,54,55,25,2.4,118.1,650,38.4,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 88,PLA,gelb,Waben,0.1,fein,205,72,63,100,0.8,29.9,400,52.7,ja,Referenzdruck fuer Serie
Druck Nr. 89,PLA,blau,Gyroid,0.3,grob,194,54,41,80,2.4,116.0,700,42.8,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 90,PETG,blau,Gyroid,0.2,mittel,239,62,37,15,2.0,128.2,700,28.2,nein,Oberflaeche leicht rau
Druck Nr. 91,ABS,blau,Gitter,0.15,fein,258,89,74,15,1.2,54.4,200,19.2,nein,Referenzdruck fuer Serie
Druck Nr. 92,PETG,blau,Gitter,0.1,fein,243,65,120,10,2.0,126.8,400,25.4,nein,Erstversuch
Druck Nr. 93,ABS,blau,Gitter,0.15,fein,248,106,95,15,2.4,44.2,130,23.0,nein,Oberflaeche leicht rau
Druck Nr. 94,PETG,weiß,Gitter,0.3,grob,223,57,49,60,2.0,35.6,150,32.5,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 95,PLA,weiß,Gyroid,0.15,fein,190,55,120,20,1.2,100.2,240,28.0,ja,Zweitdruck nach Fehlversuch
Druck Nr. 96,ASA,rot,Linear,0.15,fein,250,105,92,25,1.2,23.1,80,26.1,nein,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 97,PETG,orange,Waben,0.1,fein,243,63,92,30,0.8,89.3,470,29.3,ja,Oberflaeche leicht rau
Druck Nr. 98,PETG,grau,Waben,0.25,grob,234,64,95,100,1.6,21.0,70,48.3,nein,Referenzdruck fuer Serie
Druck Nr. 99,PLA,schwarz,Linear,0.15,fein,215,42,79,30,2.4,20.3,80,36.4,ja,Oberflaeche leicht rau
Druck Nr. 100,PLA,blau,Gitter,0.2,mittel,195,57,31,80,1.2,73.1,870,47.1,ja,Erstversuch
Druck Nr. 101,PETG,weiß,Gyroid,0.25,grob,236,100,58,40,0.8,92.7,340,33.6,ja,keine besonderen Vorkommnisse
Druck Nr. 102,ASA,transparent,Gyroid,0.2,mittel,249,100,98,25,2.4,118.0,270,30.1,nein,keine besonderen Vorkommnisse
Druck Nr. 103,PETG,gelb,Waben,0.1,fein,238,51,77,10,1.2,69.0,340,27.2,nein,Erstversuch
Druck Nr. 104,PLA,transparent,Gitter,0.15,fein,212,57,94,60,1.2,28.1,130,45.0,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 105,ASA,gelb,Gyroid,0.2,mittel,272,103,104,10,2.0,32.0,60,10.4,nein,Oberflaeche leicht rau
Druck Nr. 106,PLA,rot,Waben,0.3,grob,199,52,55,40,2.0,65.6,210,35.4,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 107,PETG,weiß,Linear,0.25,grob,238,87,78,50,0.8,48.9,150,35.0,ja,Zweitdruck nach Fehlversuch
Druck Nr. 108,PLA,gelb,Linear,0.3,grob,203,50,81,60,0.8,85.1,220,36.5,ja,keine besonderen Vorkommnisse
Druck Nr. 109,PETG,blau,Waben,0.25,grob,229,60,50,20,2.4,35.8,120,25.9,nein,Referenzdruck fuer Serie
Druck Nr. 110,PLA,schwarz,Gyroid,0.25,grob,213,77,61,30,1.2,34.4,110,37.0,ja,Zweitdruck nach Fehlversuch
Druck Nr. 111,PETG,schwarz,Waben,0.1,fein,236,72,51,15,0.8,131.2,1040,26.3,ja,Oberflaeche leicht rau
Druck Nr. 112,PLA,orange,Gitter,0.1,fein,208,71,77,30,1.2,62.8,390,38.5,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 113,PLA,schwarz,Gitter,0.15,fein,206,55,73,25,1.6,80.0,330,33.6,ja,Erstversuch
Druck Nr. 114,PLA,transparent,Waben,0.15,fein,194,65,112,20,1.6,46.8,120,29.6,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 115,ABS,blau,Linear,0.25,grob,241,105,71,40,2.4,108.1,320,24.7,ja,Erstversuch
Druck Nr. 116,PLA,orange,Gyroid,0.2,mittel,198,74,40,100,0.8,25.5,270,51.1,ja,Erstversuch
Druck Nr. 117,ASA,rot,Linear,0.25,grob,247,76,69,25,1.2,131.6,350,26.3,nein,Referenzdruck fuer Serie
Druck Nr. 118,PLA,transparent,Gyroid,0.15,fein,194,53,32,80,0.8,31.7,490,43.7,ja,Oberflaeche leicht rau
Druck Nr. 119,PLA,orange,Gitter,0.15,fein,200,56,48,80,1.6,125.9,1300,50.1,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 120,PLA,weiß,Gitter,0.1,fein,204,66,119,15,2.0,100.2,340,32.6,ja,Zweitdruck nach Fehlversuch
Druck Nr. 121,ABS,schwarz,Linear,0.1,fein,242,104,58,50,1.2,95.4,960,30.5,ja,Erstversuch
Druck Nr. 122,PETG,schwarz,Gitter,0.2,mittel,234,83,38,100,2.4,34.4,380,49.8,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 123,PLA,schwarz,Gitter,0.2,mittel,198,44,82,20,0.8,79.0,210,29.5,ja,Erstversuch
Druck Nr. 124,PLA,rot,Gitter,0.3,grob,205,59,39,50,1.6,111.5,560,40.0,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 125,PLA,rot,Waben,0.15,fein,206,58,71,40,0.8,50.5,250,39.8,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 126,PETG,weiß,Gyroid,0.2,mittel,239,82,32,10,1.6,86.0,510,22.9,ja,Oberflaeche leicht rau
Druck Nr. 127,PLA,orange,Gitter,0.2,mittel,204,43,79,15,2.0,79.5,200,29.0,nein,Zweitdruck nach Fehlversuch
Druck Nr. 128,ABS,blau,Linear,0.25,grob,246,92,81,30,2.0,59.5,140,25.4,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 129,PETG,grau,Gitter,0.3,grob,243,86,58,15,2.0,23.3,50,20.1,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 130,PLA,transparent,Linear,0.2,mittel,201,96,87,100,1.2,48.4,240,52.7,ja,Oberflaeche leicht rau
Druck Nr. 131,PETG,rot,Gitter,0.2,mittel,229,73,36,60,1.6,23.2,210,38.0,ja,Referenzdruck fuer Serie
Druck Nr. 132,ASA,weiß,Waben,0.25,grob,249,103,54,50,1.2,91.7,400,30.8,ja,Referenzdruck fuer Serie
Druck Nr. 133,PLA,transparent,Linear,0.1,fein,197,42,116,60,0.8,20.4,110,44.7,ja,Zweitdruck nach Fehlversuch
Druck Nr. 134,ABS,transparent,Linear,0.2,mittel,242,105,55,40,1.6,21.3,100,34.4,ja,Referenzdruck fuer Serie
Druck Nr. 135,ABS,grau,Gyroid,0.2,mittel,260,98,35,40,1.6,123.6,940,26.0,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 136,ABS,rot,Gitter,0.3,grob,244,111,66,80,1.2,139.1,520,31.8,ja,Erstversuch
Druck Nr. 137,PLA,transparent,Gitter,0.3,grob,195,74,75,100,0.8,16.7,60,46.9,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 138,PLA,schwarz,Linear,0.3,grob,224,78,89,100,0.8,86.2,270,39.0,ja,Erstversuch
Druck Nr. 139,PLA,gelb,Gitter,0.25,grob,214,61,40,25,1.2,37.3,170,31.9,ja,Erstversuch
Druck Nr. 140,PETG,rot,Waben,0.15,fein,235,66,117,80,0.8,28.2,120,41.9,nein,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 141,PLA,orange,Gitter,0.15,fein,212,52,120,60,1.6,133.9,470,43.7,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 142,PLA,schwarz,Linear,0.2,mittel,199,54,69,30,1.2,32.2,110,36.1,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 143,ASA,grau,Linear,0.3,grob,262,107,50,100,1.6,44.4,250,33.8,ja,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 144,ASA,gelb,Linear,0.2,mittel,243,106,54,25,1.6,59.6,250,23.2,ja,Referenzdruck fuer Serie
Druck Nr. 145,PLA,orange,Waben,0.2,mittel,204,62,68,60,2.0,83.2,390,48.3,ja,Zweitdruck nach Fehlversuch
Druck Nr. 146,PETG,schwarz,Linear,0.1,fein,235,58,30,20,2.4,71.6,1020,32.3,nein,Oberflaeche leicht rau
Druck Nr. 147,PLA,rot,Gitter,0.25,grob,207,87,78,80,1.2,43.0,160,50.6,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 148,ABS,blau,Waben,0.1,fein,251,90,93,40,1.2,42.3,240,24.3,nein,Zweitdruck nach Fehlversuch
Druck Nr. 149,ABS,rot,Gyroid,0.25,grob,238,98,120,30,2.0,98.2,160,23.0,nein,Referenzdruck fuer Serie
Druck Nr. 150,PLA,schwarz,Linear,0.3,grob,206,30,68,20,1.6,129.8,270,27.0,nein,Oberflaeche leicht rau
Druck Nr. 151,ABS,orange,Linear,0.3,grob,234,90,106,10,2.0,96.9,110,15.4,nein,Referenzdruck fuer Serie
Druck Nr. 152,PETG,transparent,Linear,0.2,mittel,234,77,44,40,2.4,22.8,140,34.4,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 153,PETG,transparent,Gitter,0.15,fein,245,55,74,30,2.0,67.0,290,29.6,ja,Referenzdruck fuer Serie
Druck Nr. 154,ASA,schwarz,Linear,0.1,fein,240,102,86,100,1.2,129.0,1270,36.8,nein,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 155,PLA,rot,Waben,0.15,fein,208,43,31,15,1.2,33.6,290,31.2,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 156,PETG,grau,Linear,0.15,fein,245,87,108,20,2.0,15.7,40,27.4,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 157,PLA,rot,Waben,0.25,grob,202,43,116,15,1.6,133.2,190,29.9,ja,Oberflaeche leicht rau
Druck Nr. 158,PETG,weiß,Linear,0.2,mittel,237,67,31,30,2.4,133.9,1040,33.8,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 159,ASA,gelb,Waben,0.3,grob,261,111,65,20,2.0,65.2,140,25.2,ja,Zweitdruck nach Fehlversuch
Druck Nr. 160,PLA,orange,Linear,0.3,grob,197,65,78,40,2.4,136.1,310,34.1,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 161,PLA,schwarz,Waben,0.3,grob,207,50,59,80,0.8,121.7,510,46.1,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 162,ASA,weiß,Gitter,0.2,mittel,247,94,105,30,0.8,86.8,200,27.8,nein,Toleranzpruefung durchgefuehrt
Druck Nr. 163,PLA,gelb,Waben,0.25,grob,202,82,38,20,1.2,34.6,160,31.7,ja,Zweitdruck nach Fehlversuch
Druck Nr. 164,PLA,transparent,Gitter,0.2,mittel,200,47,102,60,0.8,127.1,400,44.4,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 165,PLA,transparent,Linear,0.25,grob,211,69,40,20,2.4,121.8,520,31.7,ja,Referenzdruck fuer Serie
Druck Nr. 166,PLA,transparent,Linear,0.3,grob,202,56,48,20,1.2,44.4,130,30.2,ja,Referenzdruck fuer Serie
Druck Nr. 167,ASA,weiß,Linear,0.2,mittel,244,111,119,15,1.6,133.4,230,20.1,nein,Toleranzpruefung durchgefuehrt
Druck Nr. 168,ABS,rot,Waben,0.2,mittel,227,72,59,15,2.4,135.5,460,14.0,nein,Toleranzpruefung durchgefuehrt
Druck Nr. 169,PETG,grau,Gitter,0.3,grob,238,79,85,30,2.0,44.1,80,25.4,ja,keine besonderen Vorkommnisse
Druck Nr. 170,ABS,blau,Gitter,0.2,mittel,242,109,93,30,2.0,75.7,200,27.2,nein,Oberflaeche leicht rau
Druck Nr. 171,ASA,orange,Waben,0.1,fein,258,91,51,60,2.0,130.4,1630,36.3,nein,"Kunde: Musterbauteil, Rueckmeldung ausstehend"
Druck Nr. 172,PETG,blau,Linear,0.3,grob,244,93,94,50,0.8,111.5,230,33.3,ja,Erstversuch
Druck Nr. 173,PLA,grau,Gitter,0.15,fein,200,54,54,60,1.6,124.8,980,45.5,ja,Erstversuch
Druck Nr. 174,PLA,transparent,Waben,0.2,mittel,211,65,67,50,1.2,72.5,320,45.9,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 175,ASA,rot,Gitter,0.15,fein,252,105,105,60,2.0,81.4,330,35.3,nein,Erstversuch
Druck Nr. 176,PLA,gelb,Linear,0.2,mittel,204,67,69,100,1.2,57.6,350,52.5,ja,Oberflaeche leicht rau
Druck Nr. 177,PETG,schwarz,Gitter,0.15,fein,233,90,86,40,2.4,107.0,440,32.6,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 178,ASA,schwarz,Gyroid,0.25,grob,253,116,52,20,2.0,54.5,180,25.3,ja,keine besonderen Vorkommnisse
Druck Nr. 179,PETG,grau,Linear,0.3,grob,217,60,34,10,2.0,134.7,500,14.7,nein,Toleranzpruefung durchgefuehrt
Druck Nr. 180,ABS,weiß,Waben,0.2,mittel,242,113,64,100,2.0,18.1,120,38.8,ja,"Nachbearbeitet, Stuetzstruktur entfernt"
Druck Nr. 181,PETG,transparent,Waben,0.1,fein,217,90,120,20,2.4,56.8,200,17.8,nein,Erstversuch
Druck Nr. 182,ABS,schwarz,Waben,0.1,fein,245,131,54,15,0.8,125.4,940,24.8,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 183,PETG,gelb,Waben,0.2,mittel,248,82,43,50,1.2,66.8,450,32.3,ja,keine besonderen Vorkommnisse
Druck Nr. 184,PLA,schwarz,Gyroid,0.15,fein,200,47,40,60,2.4,129.8,1380,47.7,ja,Oberflaeche leicht rau
Druck Nr. 185,PLA,rot,Linear,0.25,grob,213,68,98,80,1.6,80.6,240,46.6,ja,Referenzdruck fuer Serie
Druck Nr. 186,ABS,rot,Linear,0.2,mittel,247,98,35,30,0.8,77.0,530,22.9,ja,Zweitdruck nach Fehlversuch
Druck Nr. 187,PLA,blau,Gyroid,0.2,mittel,204,54,39,100,1.2,49.4,540,58.3,ja,Toleranzpruefung durchgefuehrt
Druck Nr. 188,ASA,schwarz,Linear,0.25,grob,259,88,36,50,2.4,109.3,710,30.4,nein,keine besonderen Vorkommnisse
Druck Nr. 189,ABS,grau,Gyroid,0.15,fein,243,123,43,15,1.2,71.1,440,23.0,ja,Toleranzpruefung durchgefuehrt
