Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Kilometerstand (km),Bemerkungen,Zustand
bmw,BMW X1,schwarz,06/2016,2016,21999,170,231,Automatik,Benzin,6.4,149868.0,xD 25i M SPORT NAVI LED KAMERA KEYLESS-GO 1H*,Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 200,weiß,06/2019,2019,29400,135,184,Automatik,Benzin,6.5,75500.0,9G-TRONIC Avantgarde,Gebrauchtwagen
opel,Opel Insignia,rot,10/2018,2018,13200,100,136,Automatik,Diesel,5.4,75043.0,1.6 Edition*Automatik*PDC*,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 180,silber,03/2017,2017,27999,115,156,Automatik,Benzin,5.3,36000.0,Coupe Automatik/Leder/Navi/LED/Kamera/Totw,Gebrauchtwagen
mercedes-benz,Mercedes-Benz G 500,silber,11/2012,2012,56999,285,387,Automatik,Benzin,14.9,173250.0,G -Modell Station G 500 - G 63 OPTIK -TOP-,Gebrauchtwagen
toyota,Toyota Yaris,weiß,04/2020,2020,15590,82,111,Schaltgetriebe,Benzin,5.1,27169.0,Comfort 1.5 Dual-VVT-iE EU6d-T Rückfahrkam. Fernli,junger Gebrauchtwagen
ford,Ford Transit Custom,grau,08/2016,2016,21999,96,131,Schaltgetriebe,Diesel,6.0,154000.0,/Tourneo Custom 2.0 Kombi 310 L1,Gebrauchtwagen
volkswagen,Volkswagen Touran,silber,07/2003,2003,3500,85,116,Schaltgetriebe,Benzin,7.7,247000.0,1.6 FSI Trendline 2 Hand 7 Sitzer Tüv Neu,Gebrauchtwagen
ford,Ford Transit,weiß,03/2012,2012,11999,85,116,Schaltgetriebe,Diesel,8.4,139215.0,2.0 TDCi Business/7 Sitze/Navi/PDC/Temp,Gebrauchtwagen
ford,Ford Focus,rot,04/2019,2019,19960,92,125,Schaltgetriebe,Benzin,5.1,34800.0,Titanium Navi LED Klima City Stop Keyless Wipa PDC,Gebrauchtwagen
mercedes-benz,Mercedes-Benz SLK 200,grau,05/2011,2011,20999,135,184,Schaltgetriebe,Benzin,6.4,49500.0,SLK 200 (BlueEFFICIENCY),Gebrauchtwagen
mini,MINI Cooper Countryman,blau,04/2020,2020,22500,100,136,Automatik,Benzin,5.8,42644.0,Aut.,junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 200,blau,06/2021,2021,27699,118,160,Automatik,Diesel,4.4,81372.0,"d T+AVANTGARDE+COMAND+Kamera+LED+AHK+17""",junger Gebrauchtwagen
ford,Ford Mondeo,silber,06/2021,2021,22990,110,150,Schaltgetriebe,Diesel,4.5,18374.0,Turnier ST-Line 2.0 EcoBlue elektr.Panoramadach+el,junger Gebrauchtwagen
bmw,BMW 118,grau,12/2009,2009,10900,105,143,Schaltgetriebe,Benzin,6.6,97900.0,118i Cabrio,Gebrauchtwagen
ford,Ford Kuga,grau,09/2022,2022,28980,110,150,Schaltgetriebe,Benzin,5.5,25.0,"Titanium 1,5L Ecoboost/Navi/LED/Kamera",junger Gebrauchtwagen
seat,SEAT Ateca,weiß,01/2021,2021,32180,110,150,Automatik,Diesel,5.9,23620.0,"2.0 TDI Xperience AHK Pano LM 18"" LED Navi",junger Gebrauchtwagen
opel,Opel Meriva,grau,06/2017,2017,11990,103,140,Schaltgetriebe,Benzin,7.1,100000.0,B Innovation-Kamera-PDC-Lenkrad HZG-,Gebrauchtwagen
ford,Ford EcoSport,schwarz,07/2015,2015,10999,92,125,Schaltgetriebe,Benzin,5.3,55000.0,1.0 EcoBoost TITANIUM mit Sonderausstattung,Gebrauchtwagen
opel,Opel Mokka,blau,03/2022,2022,24780,96,131,Automatik,Benzin,5.9,30000.0,GS Line *ACC* AUTOMATIK KAMERA LED SPURHALTE NAVI,junger Gebrauchtwagen
volvo,Volvo XC40,silber,02/2023,2023,38200,120,163,Automatik,Benzin,6.6,2182.0,Core B3 Aut. EU6d Kamera Navi LED,Jahreswagen
renault,Renault Megane,grau,05/2023,2023,79999,103,140,Schaltgetriebe,Benzin,5.4,18.0,TCe140 LED EasyLink AAC PDC Alu,Neuwagen
bmw,BMW X1,blau,09/2018,2018,23800,140,190,Automatik,Diesel,4.8,79500.0,"xDrive20d Aut, Navi, AHK, Sportsi.,Stop&Go",Gebrauchtwagen
seat,SEAT Leon,rot,05/2021,2021,28480,110,150,Automatik,Benzin,5.0,24360.0,"ST 1.5 eTSI DSG Style AHK, RFK, Beats, Keyless,...",junger Gebrauchtwagen
skoda,Skoda Citigo,silber,04/2019,2019,11980,44,60,Schaltgetriebe,Benzin,4.1,31262.0,1.0 Style Urban Paket,Gebrauchtwagen
nissan,Nissan Qashqai,grau,10/2014,2014,15990,81,110,Schaltgetriebe,Diesel,3.8,50800.0,1.5 dCi TEKNA,Gebrauchtwagen
audi,Audi A4,weiß,07/2013,2013,13950,110,150,Schaltgetriebe,Diesel,4.7,121222.0,Avant Ambiente/Navigation/Tempomat/PDC/,Gebrauchtwagen
citroen,Citroen C5 X,schwarz,02/2023,2023,32950,96,131,Automatik,Benzin,6.1,3000.0,PureTech 130 Start&Stop EAT8 FEEL PACK,Jahreswagen
skoda,Skoda Octavia,blau,07/2019,2019,15980,85,116,Automatik,Diesel,4.0,109669.0,"Combi 1.6TDI DSG Ambition Navi, PDC",Gebrauchtwagen
opel,Opel Corsa,orange,04/2020,2020,13990,55,75,Schaltgetriebe,Benzin,5.9,55124.0,F 1.2 Edition Klima SHZ LHZ TouchDisplay,junger Gebrauchtwagen
seat,SEAT Arona,weiß,07/2021,2021,21480,81,110,Schaltgetriebe,Benzin,5.0,14500.0,"FR Parklenk,Navi,LED",junger Gebrauchtwagen
audi,Audi Q5,silber,06/2021,2021,50650,195,265,Automatik,Benzin,8.3,29043.0,45 TFSI quattro Advanced S tronic S line ACC,junger Gebrauchtwagen
audi,Audi A4 allroad,schwarz,07/2019,2019,34745,180,245,Automatik,Benzin,6.8,56621.0,45TFSI S TRONIC NAVI SPORTS ALCANTARA,Gebrauchtwagen
seat,SEAT Leon,rot,10/2019,2019,18450,96,131,Schaltgetriebe,Benzin,4.9,74380.0,1.5 TSI Style Navi Pano Beats ACC PDC 17Alu,Gebrauchtwagen
peugeot,Peugeot 5008,silber,04/2023,2023,37990,96,131,Automatik,Benzin,5.2,2.0,1.2 PureTech 130 AT LED Navi SHZ Kam VC,Neuwagen
peugeot,Peugeot 508,schwarz,12/2020,2020,32550,165,224,Automatik,Benzin,5.3,59500.0,SW PT 225 EAT8 GT +PSD+MET+V/LED+18LM+NAVI++,junger Gebrauchtwagen
fiat,Fiat Tipo,schwarz,06/2021,2021,18990,74,101,Schaltgetriebe,Benzin,5.4,23000.0,5-Türer Cross 1.0 74 kW mit AHK LED SHZ,junger Gebrauchtwagen
volkswagen,Volkswagen Passat Variant,grau,06/2019,2019,17930,110,150,Schaltgetriebe,Diesel,4.1,121403.0,2.0 TDI COMFORTLINE NAVI+AHK+ACC,Gebrauchtwagen
audi,Audi Q3,grau,10/2020,2020,28750,140,190,Automatik,Benzin,7.5,63250.0,40 TFSI QUATTRO S-TRONIC NAVI/LED/AHK/SHZ/PDC,junger Gebrauchtwagen
ford,Ford Fiesta,schwarz,05/2012,2012,7500,60,82,Schaltgetriebe,Benzin,5.7,175000.0,Neue Tüv SHZ Klima 8 fach bereift,Gebrauchtwagen
opel,Opel Insignia,schwarz,03/2019,2019,17989,125,170,Automatik,Diesel,6.7,72814.0,Sports Tourer 2.0 Diesel Aut. Business Innovation,Gebrauchtwagen
mercedes-benz,Mercedes-Benz A 150,silber,11/2006,2006,3250,70,95,Schaltgetriebe,Benzin,6.2,107000.0,"TÜV, 2.Hand von Rentnern, nur 107.000km!",Gebrauchtwagen
opel,Opel Corsa,silber,01/2022,2022,16490,55,75,Schaltgetriebe,Benzin,5.4,10688.0,F Edition 1.2 KAMERA NAVI LED SHZ APPLECAR,junger Gebrauchtwagen
bmw,BMW 318,schwarz,10/2013,2013,10500,105,143,Automatik,Diesel,4.5,245000.0,d*Bluetooth*Sitzhzg*PDC*2.Hd*Tempomat*,Gebrauchtwagen
volkswagen,Volkswagen T-Roc,grau,07/2019,2019,24555,110,150,Automatik,Benzin,5.6,68100.0,1.5 TSI DSG Style Pano Navi LED ACC,Gebrauchtwagen
ford,Ford Fiesta,schwarz,11/2015,2015,7990,55,75,Schaltgetriebe,Diesel,3.6,126964.0,Trend Einparkhilfe Frontscheibenheizung,Gebrauchtwagen
mercedes-benz,Mercedes-Benz C 220,weiß,09/2017,2017,26950,125,170,Automatik,Diesel,4.7,100229.0,d 4Matic *AMG Line * Navi * LED *Standheiz,Gebrauchtwagen
opel,Opel Mokka X,schwarz,09/2017,2017,14900,103,140,Schaltgetriebe,Benzin,5.9,75450.0,1.4 (ecoFLEX) ECOTEC Start/Stop Innovation,Gebrauchtwagen
audi,Audi A4,grau,03/2012,2012,15499,180,245,Automatik,Diesel,5.9,171000.0,A4 Avant 3.0 TDI DPF clean diesel quattro S tronic,Gebrauchtwagen
bmw,BMW 120,silber,01/2018,2018,20000,135,184,Schaltgetriebe,Benzin,5.7,34000.0,120i Advantage,Gebrauchtwagen
porsche,Porsche Cayenne,silber,07/2020,2020,109490,404,549,Automatik,Benzin,11.4,83147.0,"4.0 V8 Turbo Keramik 22"" PDLS+ BOSE SAGA",junger Gebrauchtwagen
mini,MINI One Countryman,grau,12/2022,2022,29990,75,102,Schaltgetriebe,Benzin,6.1,10.0,Aut. RFK Panorama HeadUp DAB Navi Apple CarPlay,junger Gebrauchtwagen
hyundai,Hyundai i20,silber,04/2022,2022,17199,62,84,Schaltgetriebe,Benzin,5.5,3458.0,Select 1.2 KLIMA PDC DAB TEMPOMAT,junger Gebrauchtwagen
volkswagen,Volkswagen Polo,grau,02/2015,2015,8490,55,75,Schaltgetriebe,Benzin,5.1,123000.0,Comfortline,Gebrauchtwagen
volkswagen,Volkswagen Caddy,rot,02/2019,2019,13290,75,102,Schaltgetriebe,Benzin,5.5,82938.0,1.0 TSI Kasten Radio Leiterklappe Flex Sitz,Gebrauchtwagen
audi,Audi A6,grau,03/2016,2016,41000,240,326,Automatik,Diesel,6.4,76000.0,A6 Avant 3.0 TDI competition quattro tiptronic,Gebrauchtwagen
opel,Opel Grandland X,weiß,04/2020,2020,19890,96,131,Schaltgetriebe,Diesel,3.9,79850.0,F 1.2 T[Euro6d] S/S 5-T Elegance,junger Gebrauchtwagen
bmw,BMW X2,schwarz,07/2019,2019,34749,225,306,Automatik,Benzin,6.9,59750.0,M35i xDrive NAV+LED+HEADUP+H&K+ACC+SHZ+KAMERA,Gebrauchtwagen
dacia,Dacia Jogger,braun,06/2023,2023,22880,81,110,Schaltgetriebe,Benzin,5.7,10.0,Jogger Extreme 7-SITZER+NAVI+LED+SHZ+LM+KAMERA+PDC,Neuwagen
ford,Ford Fiesta,blau,05/2021,2021,18400,70,95,Schaltgetriebe,Benzin,4.1,35020.0,Titanium X LED SITZHEIZUNG PDC NAVI SOUND SYSTEM,junger Gebrauchtwagen
peugeot,Peugeot 5008,weiß,11/2019,2019,32000,133,181,Automatik,Benzin,5.7,37336.0,Allure inkl. GT-LIne Pure Tech 180EAT8,Gebrauchtwagen
volkswagen,Volkswagen Golf Plus,blau,04/2013,2013,10250,90,122,Schaltgetriebe,Benzin,6.5,70000.0,1.4 TSI MATCH,Gebrauchtwagen
volkswagen,Volkswagen Golf,braun,05/2011,2011,9970,77,105,Schaltgetriebe,Benzin,5.8,121577.0,VI Variant Trendline Top Zustand,Gebrauchtwagen
ford,Ford Kuga,grau,11/2015,2015,14500,110,150,Schaltgetriebe,Diesel,4.7,109500.0,Kuga 2.0 TDCi 2x4 Titanium,Gebrauchtwagen
dacia,Dacia Logan,braun,07/2018,2018,7890,54,73,Schaltgetriebe,Benzin,5.4,114335.0,"MCV Essential 1.0 Benzin 54 kW (73 PS), Schalt....",Gebrauchtwagen
bmw,BMW 330,schwarz,03/2021,2021,45980,210,286,Automatik,Diesel,4.4,43000.0,"dA M-SPORT LC.PROF LASER HUD DA PROF. ACC 19""",junger Gebrauchtwagen
skoda,Skoda Octavia,grau,11/2018,2018,22900,180,245,Automatik,Benzin,6.4,42202.0,2.0 TSI RS 245 Aut.*ACC*PANO*PDC*SHZ*ALU,Gebrauchtwagen
volvo,Volvo XC60,silber,12/2022,2022,51900,145,197,Automatik,Benzin,7.0,100.0,Core B4 Benzin EU6d digitales Cockpit LED ACC 2-Zo,junger Gebrauchtwagen
ford,Ford Mustang,rot,03/2016,2016,36999,324,441,Schaltgetriebe,Benzin,13.6,54441.0,MUSTANG 5.0 CABRIO V8 GT/CS CALIFORNIA SPECIAL!,Gebrauchtwagen
porsche,Porsche 911,grau,12/2016,2016,105500,309,420,Automatik,Benzin,8.7,47000.0,Carrera S,Gebrauchtwagen
ford,Ford Fiesta,weiß,02/2018,2018,11500,74,101,Schaltgetriebe,Benzin,5.2,62780.0,2.0 EcoBlue Titanium B&O SpoSi Navi,Gebrauchtwagen
audi,Audi A6,silber,02/2015,2015,31500,265,360,Automatik,Diesel,6.4,149990.0,design quattro 2.0 TFSI S-Line S-Tronic LEDER,Gebrauchtwagen
porsche,Porsche Cayenne,schwarz,04/2023,2023,122980,250,340,Automatik,Benzin,11.8,22.0,Platinum Chrono Sbel PASM ACC Sportabg.,Neuwagen
volkswagen,Volkswagen Passat Variant,grau,03/2012,2012,7000,77,105,Schaltgetriebe,Diesel,4.4,255902.0,Comfortline BlueMotion (365),Gebrauchtwagen
toyota,Toyota Verso,schwarz,12/2014,2014,9399,130,177,Schaltgetriebe,Diesel,5.8,127675.0,2.2 D-CAT 7-Sitzer Executive,Gebrauchtwagen
bmw,BMW 318,schwarz,05/2011,2011,9950,105,143,Schaltgetriebe,Diesel,4.8,188000.0,d Touring Aut.*Bi-XENON*T.LEDER*NAVI*PDC*AHK*,Gebrauchtwagen
mercedes-benz,Mercedes-Benz SLK 200,schwarz,05/2005,2005,12770,120,163,Automatik,Benzin,9.2,95900.0,"Kompressor, Automatik, Leder, Airscarf-Sys",Gebrauchtwagen
ford,Ford Fiesta,blau,05/2013,2013,8990,92,125,Schaltgetriebe,Benzin,4.3,72000.0,Titanium Individual *1.Hand*Sitzhzg*Leder,Gebrauchtwagen
seat,SEAT Ateca,blau,10/2016,2016,16490,110,150,Schaltgetriebe,Benzin,5.3,92150.0,Style Navi Rückfahrkamera Sitzheizing Klima Navi,Gebrauchtwagen
mazda,Mazda MX-5,rot,08/2022,2022,31990,135,184,Schaltgetriebe,Benzin,6.9,1963.0,SKYACTIV-G 2.0,junger Gebrauchtwagen
toyota,Toyota Aygo X,weiß,09/2017,2017,11590,51,69,Schaltgetriebe,Benzin,4.1,63079.0,-play touch KAMERA BLUETOOTH,Gebrauchtwagen
toyota,Toyota,schwarz,12/2009,2009,3990,50,68,Schaltgetriebe,Benzin,4.6,102803.0,Aygo AYGO Cool / KLIMA /,Gebrauchtwagen
mercedes-benz,Mercedes-Benz T-Class,silber,01/2023,2023,32950,85,116,Automatik,Diesel,5.7,17746.0,T 180 d ED Progressive Navi*Cam*Klima*LED*DAB*7G,Jahreswagen
mercedes-benz,Mercedes-Benz AMG GT,schwarz,01/2017,2017,119900,375,510,Automatik,Benzin,9.4,4050.0,S Coupe (BM 190),Gebrauchtwagen
bmw,BMW 530,silber,03/2020,2020,26600,195,265,Automatik,Diesel,5.5,109998.0,d LiveCockpit*Navi*LED*Leder*Kamera*17LM,junger Gebrauchtwagen
skoda,Skoda Superb,schwarz,03/2018,2018,24880,140,190,Automatik,Diesel,5.3,118253.0,Combi 2.0TDI DSG 4X4 STYLE *LEDER *NAVI *AHK,Gebrauchtwagen
renault,Renault Twingo,rot,02/2021,2021,15499,68,92,Schaltgetriebe,Benzin,4.7,5700.0,TCe 90 LIMITED,junger Gebrauchtwagen
seat,SEAT Ateca,weiß,02/2022,2022,29890,110,150,Automatik,Diesel,4.5,15530.0,2.0 TDI DSG Style VIRTUAL*NAVI*LED*ACC*PDC*KAME...,junger Gebrauchtwagen
ford,Ford Fiesta,weiß,10/2020,2020,14999,63,86,Schaltgetriebe,Diesel,3.9,13000.0,1.5 TDCi COOL&CONNECT / 1.Hand / Allwetterreifen,junger Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 350,silber,09/2011,2011,17990,195,265,Automatik,Diesel,6.5,190000.0,CDI T-Modell AVANTGARDE*XENON*PANO*TOTW,Gebrauchtwagen
skoda,Skoda Karoq,weiß,04/2023,2023,37395,110,150,Automatik,Benzin,6.2,10.0,"Sportline 1.5 TSI DSG Sportline, Matrix, Navi, ...",Neuwagen
mercedes-benz,Mercedes-Benz CLA 220,weiß,04/2015,2015,23600,130,177,Automatik,Diesel,4.3,85155.0,CLA220Cdi|SB|AMG Line|AMG Sport Paket|ChromPaket,Gebrauchtwagen
renault,Renault Kadjar,weiß,05/2018,2018,14999,96,131,Schaltgetriebe,Benzin,5.9,35120.0,Life/Top-gepflegt/ 1 Hand,Gebrauchtwagen
ford,Ford Fiesta,grau,12/2003,2003,500,50,68,Schaltgetriebe,Diesel,4.6,400000.0,Fiesta 1.4 TDCI,Gebrauchtwagen
opel,Opel Crossland,rot,01/2023,2023,27490,96,131,Automatik,Benzin,5.4,3000.0,"Elegance, Kamera, Sitzhzg., LED",Jahreswagen
nissan,Nissan Qashqai,weiß,03/2023,2023,40990,140,190,Automatik,Benzin,5.3,10.0,N-Connecta 1.5 VC-T e-POWER 190 PS 4x2 Winter+Busi,Neuwagen
skoda,Skoda Fabia,weiß,05/2023,2023,20790,81,110,Schaltgetriebe,Benzin,5.6,640.0,"Fabia 1.0 TSI Style,ACC,SHZ,AHK,Kame,DigilCock",Jahreswagen
dacia,Dacia Sandero,rot,01/2023,2023,16450,67,91,Schaltgetriebe,Benzin,5.3,11.0,"III 1,0 TCe Expression DAB LED PDC",Neuwagen
opel,Opel Corsa,blau,05/2022,2022,19390,74,101,Automatik,Benzin,4.4,13929.0,Elegance :SOFORT+ NAVI+ WinterPak+ Leder+ Kamer...,junger Gebrauchtwagen
volkswagen,Volkswagen Touran,blau,06/2018,2018,18950,85,116,Schaltgetriebe,Diesel,4.5,75553.0,1.6 TDI Join ACC Navi PDC,Gebrauchtwagen
mercedes-benz,Mercedes-Benz SL 500,blau,10/2004,2004,18450,225,306,Automatik,Benzin,12.1,131400.0,Roadster im TOP Zustand !,Gebrauchtwagen
opel,Opel Insignia,braun,11/2020,2020,27990,90,122,Automatik,Diesel,5.5,5773.0,ST 1.5 D Business Elegance 'LEDER''LED',junger Gebrauchtwagen
audi,Audi Q5,schwarz,08/2022,2022,52985,195,265,Automatik,Benzin,7.3,25700.0,45 TFSI  quattro S-LINE*LED*VIRTUAL*NAVI-PLUS,junger Gebrauchtwagen
seat,SEAT Alhambra,schwarz,04/2013,2013,21499,103,140,Schaltgetriebe,Diesel,5.5,122500.0,*Style*Navi*Kamera*7 Sitzer*Sitzh*PDC*,Gebrauchtwagen
volkswagen,Volkswagen Golf Plus,grau,06/2005,2005,3299,55,75,Schaltgetriebe,Benzin,7.2,199000.0,1.4 Comfortline Klima Navi Bluetooth,Gebrauchtwagen
mercedes-benz,Mercedes-Benz GLC 250,silber,02/2016,2016,42990,150,204,Automatik,Diesel,5.0,29600.0,d 4Matic l AMG l 360° l 1.HAND l,Gebrauchtwagen
ford,Ford EcoSport,gelb,08/2021,2021,20980,92,125,Schaltgetriebe,Benzin,5.0,4025.0,1.0 EcoBoost Active LED Navi Blis Temp.,junger Gebrauchtwagen
volkswagen,Volkswagen Golf,grau,04/2014,2014,16990,162,220,Schaltgetriebe,Benzin,6.0,90000.0,VII Lim. GTI BMT *Navi*SHZ*PDC*8-Fach*,Gebrauchtwagen
opel,Opel Crossland,weiß,06/2022,2022,22990,96,131,Schaltgetriebe,Benzin,6.0,8900.0,1.2 GS Line,junger Gebrauchtwagen
ford,Ford Focus,schwarz,04/2023,2023,29990,114,155,Automatik,Benzin,5.4,15.0,1.0 MHEV Autom. ST-Line X / Keyfree / LED,Neuwagen
bmw,BMW 528,grau,06/2011,2011,12900,190,258,Automatik,Benzin,8.0,139000.0,i*Leder*Automatik*M-Lenkrad*Sportsitze*R-Kam*,Gebrauchtwagen
mercedes-benz,Mercedes-Benz E 200,weiß,05/2010,2010,15900,135,184,Automatik,Benzin,7.9,145000.0,E 200 CGI Cabrio BlueEFFICIENCY Avantgarde,Gebrauchtwagen
skoda,Skoda Superb,silber,07/2019,2019,26490,110,150,Automatik,Diesel,4.4,70200.0,"2,0TDI Ambition DSG Navi ACC Bi-Xenon Kamera 1. H",Gebrauchtwagen
opel,Opel Mokka,blau,02/2015,2015,12700,103,140,Schaltgetriebe,Benzin,6.3,65081.0,Innovation ecoFlex 4x4,Gebrauchtwagen
volkswagen,Volkswagen Caddy,silber,04/2014,2014,16999,77,105,Schaltgetriebe,Benzin,6.7,98000.0,Kombi*SHZ*PDC*Klimaaut*Scheckheft*8-fachBR,Gebrauchtwagen
land-rover,Land Rover Range Rover,blau,05/2018,2018,67700,190,258,Automatik,Diesel,6.9,88300.0,"3,0 TDV6 *MANSORY* (PANO/LED/CAM/",Gebrauchtwagen
